indegree,outdegree,degree
17,0,17
15,0,15
5,0,5
3,0,3
16,0,16
170,267,437
2,0,2
2,0,2
23,0,23
3,0,3
2,0,2
2,0,2
4,0,4
14,0,14
2,0,2
2,0,2
53,319,372
3,0,3
15,15,30
2,0,2
3,0,3
2,0,2
4,0,4
3,0,3
3,0,3
3,0,3
3,0,3
3,0,3
2,0,2
10,0,10
2,0,2
4,0,4
3,0,3
12,0,12
2,0,2
3,0,3
3,0,3
2,0,2
3,0,3
4,0,4
6,0,6
3,0,3
2,0,2
16,0,16
2,0,2
3,0,3
4,0,4
31,0,31
4,0,4
4,0,4
5,0,5
8,0,8
5,0,5
2,0,2
30,0,30
3,0,3
4,0,4
2,0,2
10,0,10
5,0,5
2,0,2
7,0,7
4,0,4
3,0,3
7,0,7
32,0,32
9,0,9
4,0,4
5,0,5
3,0,3
177,307,484
3,0,3
9,0,9
7,0,7
2,0,2
3,0,3
5,0,5
13,0,13
3,0,3
3,0,3
2,0,2
2,0,2
170,255,425
13,0,13
5,0,5
5,0,5
17,0,17
14,0,14
2,0,2
4,0,4
4,0,4
3,0,3
5,0,5
5,0,5
3,0,3
2,0,2
2,0,2
3,0,3
3,0,3
2,0,2
5,30,35
3,0,3
3,0,3
5,0,5
2,0,2
2,0,2
2,0,2
10,0,10
8,0,8
2,0,2
39,0,39
2,0,2
4,0,4
15,0,15
30,0,30
4,0,4
3,0,3
3,0,3
3,0,3
3,0,3
4,0,4
14,0,14
7,0,7
3,0,3
2,0,2
3,0,3
4,0,4
3,0,3
2,0,2
5,0,5
2,0,2
13,0,13
6,55,61
6,0,6
4,0,4
3,0,3
5,0,5
3,0,3
30,0,30
3,0,3
6,0,6
3,0,3
11,0,11
9,0,9
3,0,3
3,0,3
3,0,3
3,0,3
11,0,11
3,0,3
3,0,3
4,0,4
8,0,8
3,0,3
174,528,702
171,425,596
173,0,173
3,0,3
12,0,12
3,0,3
2,0,2
3,0,3
4,0,4
3,0,3
7,0,7
32,0,32
3,0,3
5,0,5
5,0,5
4,0,4
6,0,6
3,0,3
5,0,5
3,0,3
2,0,2
4,0,4
3,0,3
4,0,4
11,0,11
2,0,2
2,0,2
2,0,2
17,0,17
3,0,3
5,0,5
4,0,4
171,263,434
3,0,3
3,0,3
30,0,30
3,0,3
2,0,2
5,0,5
2,0,2
171,0,171
5,0,5
4,0,4
3,0,3
2,0,2
3,0,3
3,0,3
2,0,2
3,0,3
3,0,3
3,0,3
2,0,2
2,0,2
2,0,2
15,0,15
14,0,14
47,0,47
3,0,3
3,0,3
3,0,3
3,0,3
6,0,6
2,0,2
9,0,9
5,0,5
3,0,3
3,0,3
9,0,9
6,0,6
7,0,7
2,0,2
3,0,3
170,245,415
20,0,20
2,0,2
3,0,3
6,0,6
3,0,3
2,0,2
4,0,4
2,0,2
3,0,3
4,0,4
13,0,13
34,306,340
13,0,13
9,0,9
2,0,2
2,0,2
21,0,21
3,0,3
26,0,26
7,0,7
6,0,6
13,0,13
4,0,4
2,0,2
2,0,2
4,0,4
4,0,4
3,0,3
3,0,3
2,0,2
2,0,2
4,0,4
3,0,3
2,0,2
4,0,4
4,0,4
3,0,3
3,0,3
4,0,4
2,0,2
10,0,10
5,0,5
2,0,2
9,0,9
6,0,6
2,0,2
7,0,7
9,0,9
3,0,3
39,0,39
2,0,2
2,351,353
28,126,154
3,0,3
3,0,3
3,0,3
8,0,8
8,0,8
181,503,684
6,0,6
36,0,36
2,0,2
4,0,4
13,0,13
2,0,2
3,0,3
3,0,3
5,0,5
2,0,2
3,0,3
2,0,2
5,0,5
2,0,2
9,0,9
3,0,3
14,18,32
3,0,3
2,0,2
9,0,9
3,0,3
170,231,401
4,0,4
6,0,6
4,0,4
2,0,2
3,0,3
2,0,2
6,0,6
3,0,3
8,0,8
4,0,4
4,0,4
9,0,9
2,0,2
2,0,2
3,0,3
2,0,2
9,0,9
2,0,2
3,0,3
3,0,3
26,6,32
3,0,3
7,0,7
2,2,4
2,0,2
14,0,14
3,0,3
3,0,3
21,0,21
2,0,2
3,0,3
2,0,2
2,0,2
204,330,534
2,0,2
8,0,8
5,0,5
2,0,2
5,0,5
3,0,3
7,0,7
3,0,3
4,0,4
3,0,3
10,0,10
8,0,8
3,0,3
17,0,17
171,424,595
173,302,475
5,0,5
3,0,3
3,0,3
7,0,7
3,0,3
2,0,2
4,0,4
5,0,5
4,0,4
5,0,5
3,0,3
3,0,3
7,0,7
3,0,3
6,0,6
7,0,7
9,0,9
183,286,469
8,0,8
3,0,3
13,0,13
3,0,3
3,0,3
3,0,3
2,39,41
4,0,4
4,0,4
4,0,4
32,0,32
3,0,3
8,0,8
2,0,2
3,0,3
5,0,5
2,0,2
176,459,635
3,0,3
3,0,3
3,0,3
2,0,2
3,0,3
5,0,5
3,0,3
4,0,4
12,0,12
3,0,3
4,0,4
7,0,7
2,0,2
6,0,6
32,0,32
3,0,3
33,0,33
2,0,2
4,0,4
3,0,3
2,0,2
6,0,6
13,0,13
2,0,2
2,0,2
3,0,3
3,0,3
11,0,11
3,0,3
2,0,2
9,0,9
3,0,3
7,0,7
4,0,4
6,0,6
6,0,6
2,0,2
10,0,10
4,0,4
3,0,3
16,0,16
3,0,3
15,0,15
3,0,3
2,0,2
31,0,31
10,0,10
173,245,418
3,0,3
3,0,3
4,0,4
75,147,222
5,0,5
3,0,3
6,0,6
32,0,32
10,0,10
11,348,359
9,0,9
3,0,3
5,0,5
7,0,7
2,0,2
2,0,2
3,0,3
3,0,3
2,0,2
5,0,5
4,0,4
2,0,2
3,55,58
6,0,6
2,0,2
2,0,2
2,0,2
2,0,2
2,0,2
4,0,4
6,0,6
8,0,8
2,0,2
3,0,3
3,0,3
3,0,3
190,317,507
3,0,3
7,0,7
2,0,2
17,0,17
2,0,2
3,0,3
